STANAME,STAID,latitude,longitude,mean_diff_winter,mean_diff_spring,mean_diff_summer,mean_diff_autumn,mean_diff_pers_winter_0,mean_diff_pers_spring_0,mean_diff_pers_summer_0,mean_diff_pers_autumn_0,mean_diff_pers_winter_1,mean_diff_pers_spring_1,mean_diff_pers_summer_1,mean_diff_pers_autumn_1
KEM'-PORT,79,+64:58:59,+034:48:59,1.703390753169277,1.308514094601051,0.4433615371614472,0.7825526616506862,-0.00777048808197508,-0.014708987617055526,-0.010293483704586026,-0.0007525950415457515,-0.02313429400191969,-0.05003183428406586,-0.02507732352725001,-0.016625686849597428
KURSK,80,+51:46:00,+036:10:00,2.290740740740741,1.8039855072463782,1.1267927100241124,0.9634798534798534,-0.0329981612749502,0.015374822348521446,0.03884586774805904,-0.018719515949622904,0.02194246433300299,-0.01010147020949599,0.011355722927022837,0.060976174530886794
KOJNAS,81,+64:45:00,+047:39:00,1.3897662462012406,1.4835745202788237,0.6762934433450418,0.9748313755210305,-0.015005558413017608,0.011789546941726866,-0.010047749981423933,0.046574013969674935,0.029743573209976122,-0.008726408801144742,-0.022289691631344494,-0.03933297621079218
KOSTROMA,82,+57:43:59,+040:51:00,2.47558380861191,1.572717391304348,0.6739085312792099,0.9227194644436016,-0.0028529907523595324,0.002297569288481821,0.03732578480584892,-0.001881581113860932,-0.023542884666572235,0.0037366458965374444,0.0004567480553530925,-0.01948686344324558
KOTLAS,83,+61:16:00,+046:43:00,1.9379916600752107,1.3442391304347827,0.30751342916384594,0.8126575723127447,-0.0037533444637091198,0.0007798640067971435,0.009978321907407073,0.004646205765834247,-0.01545324945733866,-0.014981680662010376,-0.019880532876873663,-0.023869914303436074
KRASNOUFIMSK,84,+56:39:00,+057:46:59,1.4636947670788043,0.9789855072463771,0.4622991534255121,1.1051269420234935,-0.04565335430916594,-0.022555678505659472,0.02684799788510481,-0.011256815312365968,-0.025573213994435594,-0.0016709459822193443,0.006279663378846666,-0.05372920707646361
SANKT-PETERBURG,85,+59:58:00,+030:18:00,2.5029259259259256,1.8174637681159407,1.0240217391304327,0.9778133962811388,0.005179747732802492,0.010998124992558077,0.034236810677740474,0.01201684989492743,0.0012501165518141362,-0.005341888819685658,0.015525602515848816,0.041817504426839514
MURMANSK,86,+68:58:00,+033:02:59,1.3803333333333345,1.3851811594202896,0.2844565217391306,0.8345054945054942,-0.016628700098427596,0.00984400642471855,-0.008539671411891974,0.03811016037325516,0.0014585907135430498,-0.04380132234949213,-0.044905945909174544,-0.03609409568370744
MOSKVA VDNX,87,+55:49:59,+037:37:00,2.6269629629629625,1.5741304347826084,0.9340217391304328,0.8997069597069602,-0.024890520283754297,0.011009361193568594,0.02583911054792501,-0.029141778490515496,0.015745828842056168,-0.01600211001195587,0.013954288292929348,0.054190816322694714
NAR'YAN-MAR,88,+67:37:59,+053:01:59,1.159565005620081,2.1867753623188406,0.7748951281760714,1.029393709738537,0.0018722644925278963,-0.06255106914022282,-0.027428954496593244,0.01577231451915387,0.03133649253989356,-0.008966671685319656,-0.027529627732189837,-0.02869803704479306
UFA,89,+54:43:00,+055:49:59,1.8960308341312473,1.1367753623188404,0.6550928278125276,1.3627118858153335,0.005581057461500045,-0.012602175041610807,-0.005049196787867793,-0.01120348764609774,-0.035935882293121765,-0.0007764091626633776,0.011865221145133012,-0.051302657787831794
ONEGA,90,+63:54:00,+038:07:00,1.7610111291508836,1.4232971014492752,0.6694048463166506,0.8496008589112041,0.01506717511095392,4.4241179973682515e-05,0.00018222830815095329,0.015735847916184507,-0.02503798309152105,-0.06400584574118699,-0.025013737932589084,-0.024786636155047382
ORENBURG,91,+51:40:59,+055:06:00,1.9651005231533532,1.1202536231884066,0.6620791300050506,1.2868561323733738,0.0027920111372077075,0.027473276152306138,0.005672195075604749,-0.012313912427218104,0.022914645176274527,0.0027923459244287886,0.009175000041649981,0.03484992912086737
PAVELEÑ,92,+53:46:59,+039:15:00,2.263223110334014,1.4547463768115945,0.658109979480237,0.8221840189457055,-0.037685960314685456,0.014410853084440756,0.04758339857667974,-0.02816395081657549,0.020355286194553103,-0.015859326102576312,-0.0026302458915587685,0.04179481734433111
PECHORA,94,+65:07:00,+057:06:00,1.203736189167806,1.6706159420289857,0.3931212331195404,1.1218005759146077,-0.033065902925009376,-0.059509258350482826,0.005699274982551246,0.010259228701547494,0.01711652449119368,0.038733403072921856,0.0017322408508319686,-0.044909206401799795
PSKOV,95,+57:49:00,+028:19:59,2.485925925925926,1.9528611632023791,0.8261398663662014,0.609951356814677,0.03449882307265254,0.014320090981890762,0.05111529708005371,-0.010268510152070013,0.014794802498918763,-0.025943132673603896,-0.016391791700116322,0.045372327108792194
SARATOV,96,+51:34:00,+045:01:59,2.471671218239596,1.3261231884057985,0.7708570760950195,1.158025767336114,-0.008586577353182672,0.04504105124033642,0.03389915657532008,-0.016703089812973835,0.0493291668066823,-0.03924356585254883,-0.026760013155220256,0.04156876242482646
SMOLENSK,97,+54:45:00,+032:04:00,2.571777777777778,2.1207246376811595,0.861123188405795,0.8485347985347982,-0.00606454530104565,0.006611823037162718,0.04312583563224595,-0.022093543178191677,0.02018332576768569,-0.014649994022335397,0.004767957825544214,0.074041960859806
SORTAVALA,98,+61:43:00,+030:43:00,2.333453377310521,1.6466417498541264,0.7126500884732057,0.7275912120185257,-0.02029838839424143,0.004280742353321221,0.023261836188853868,-0.0003243070325123553,-0.016618378697886682,-0.0068328064001808185,0.004894117552340644,-0.02678792609829368
SY'KTY'VKAR,99,+61:40:00,+050:52:00,2.08372471512644,1.3938348309355768,0.3658354819995502,0.9149576859921686,0.002248984059884297,0.01603993481858368,0.010017423926865608,0.0045542158129985785,0.007257242320146359,-0.009599419367305264,-0.021422751964350756,-0.03267547187755707
TAMBOV,100,+52:48:00,+041:30:00,2.2500673299751606,1.2796376811594214,0.6413622543805957,1.0016900341038264,-0.025436006434550535,-0.012403866620932088,0.02985071898823435,-0.02750611118180804,0.006151223159080014,-0.026224736044339617,0.0014607070953925798,0.04333055785990164
TROIÑKO-PECHORSKOE,101,+62:42:00,+056:12:00,1.203039409960729,1.2488043478260868,0.4316666129500124,1.012808645577993,-0.006810524645470357,0.0017757193957479325,0.006720883740811139,0.04906352740491464,0.010128196602058458,0.03346699216949316,0.01889576706664924,-0.005581075013075473
UST'-CIL'MA,102,+65:25:59,+052:16:00,1.0963644172460203,1.760615942028985,0.481169707029359,1.050721232790198,-0.03250911887289329,-0.04678309954320564,-0.0034294000184816997,0.022728270901261116,0.02476959619803664,0.007599096631856589,-0.02851204062301126,-0.06375606373855908
VELIKIE LUKI,103,+56:21:00,+030:37:00,2.597777777777777,1.9291666666666671,1.1131772039859023,0.7870329670329665,0.006858469220688533,0.002313414713693775,0.0459516288128474,-0.004952235232857563,0.03916357614152772,0.00010880788805171129,0.006815435873100048,0.06827591109553378
VY'TEGRA,104,+61:01:00,+036:27:00,2.0947894758752748,1.5688766802716798,0.8249134087515166,0.7868477335833068,0.010890044070666613,0.030338820927139097,0.03323090649526003,-0.0017663122505078642,-0.011468053008012943,-0.0168571415417284,-0.0041277677274046895,0.008954307323614116
VOLOGDA,105,+59:19:00,+039:55:00,1.9926190416718708,1.1106884057971018,0.3958249535350884,0.5423493747631678,-0.007003669551441119,0.02560018100671909,0.035930162895713595,-0.01107926364513565,-0.021018094199275836,-0.01600869132230985,-0.016574260580001044,-0.013153089435365828
VESTERVIG,107,+56:46:45,+008:19:54,1.5584130124189473,1.3121355855357146,0.893560661096986,0.5782808463996592,0.007077924219267141,-0.018364655399525944,0.008974721560178669,0.020327007130539004,-0.004419908987347938,0.035212216501135166,0.05469559172892656,0.0061883336653152585
JERUSALEM CENTRAL,132,+31:46:00,+035:13:00,-0.027727021333449287,1.0484778973228153,1.2229719503716794,0.6486213775487535,-0.14908725041909407,-0.055095310338005285,-0.00362103496845436,-0.07126301799608704,0.04017637160154066,0.08463046092016398,-0.020715595040912534,-0.1036611022213496
DEN HELDER,160,+52:57:41,+004:44:49,1.1620370370370372,1.5015620551449533,1.0399637681159408,0.48775014529869765,-0.021760605629520532,0.01293592100996386,0.021999184127937752,-0.0011917359440304254,0.032564845430481715,-0.02435309405329378,0.008621406959435265,-0.006497401880467874
DE KOOY,161,+52:55:36,+004:46:51,1.4408518518518516,1.653663504420316,1.337753623188405,0.9088124163609699,-0.02238895178790841,0.005834650235357607,0.02001822116609949,0.004704486465071462,0.030025589901232715,-0.019753488424122945,0.015458099668230548,-0.009876785297297993
DE BILT,162,+52:05:56,+005:10:46,1.4482592592592591,1.5935869565217402,1.2834420289855046,0.8195970695970693,-0.005570388122771816,0.0036063737368715923,0.037725829712031485,-0.015332349676353786,0.0361854980182607,-0.019361416047680886,0.008669485318354334,0.03440067872842783
GRONINGEN,163,+53:13:00,+006:33:00,1.4142962962962962,1.5406977034317206,1.1552536231884059,0.6925574315753842,-0.006891715718788887,0.012929338273612763,0.01975434668834236,0.008777335928132289,0.03510399184754094,-0.034741749439648494,0.020864845494266652,0.04938427968722919
EELDE,164,+53:07:24,+006:35:04,1.4309629629629628,1.5562411816925907,1.1772826086956538,0.709407248425201,-0.007533918214478764,0.008592585009569475,0.01902736049333819,0.007329791068877871,0.036828008827920006,-0.033329158572090914,0.01863466954577242,0.0467283200863771
WEST SOUBURG,165,+51:27:00,+003:36:00,1.2940740740740746,1.5858333333333334,1.4027173913043498,0.9674287835042676,-0.015082968719094427,0.008342773474773788,0.015371103610998303,-0.03759175727311933,0.04269770936228115,-0.015034618419038581,0.02413305965888294,0.014721025814552523
VLISSINGEN,166,+51:26:29,+003:35:44,1.2803703703703708,1.6304710144927537,1.3448913043478292,0.8698829959584806,-0.016249300815777277,0.0097298738344895,0.022582099905481805,-0.03238777276431815,0.042225769609865814,-0.010580253201218685,0.02568237552660438,0.01622056006778547
MAASTRICHT,168,+50:54:19,+005:45:42,1.1733333333333333,1.596658984299081,1.5281521739130426,0.8359580788089396,-0.021322761990413604,-0.0003615326162867742,0.04758286711673117,-0.008343537902989931,0.01246713419769844,-0.006999346882547343,0.01872710299519212,0.024360024490699312
BOLOGNA,169,+44:30:00,+011:20:45,0.8904131478721644,0.9399868582074369,1.4165598283794836,0.5270548236294097,0.0028806335031641957,0.02774094591625441,0.0320801764720453,0.03935088356651753,0.006114054721430232,-0.003069523361972882,0.030435645713089935,0.017794780922823356
BJOERNOEYA,179,+74:31:00,+019:01:00,2.6629086630164815,1.7203260869565224,0.9455434782608694,1.138168498168498,-0.03028265710342235,-0.044075303689711756,0.022893211739674527,0.016385059851755188,-0.034957048790786815,-0.024542018117224663,-0.0738673198425818,-0.035253763705142285
HOPEN,187,+76:30:00,+025:04:00,3.729925925925926,2.5869202898550725,1.1454710144927538,1.7777655677655677,0.008201675457554103,-0.008738562637630079,-0.015152185794208337,-0.022069353661152206,0.032451970049334915,-0.008127032823026084,-0.04050539020048044,0.031776400999397054
GLOMFJORD,188,+66:49:00,+013:58:59,1.2984992998929248,0.5521636564688537,0.5045930171278012,0.4720315265259085,-0.019705633720850952,0.01167746906254327,0.007106575905106644,0.03389159651164338,0.031288918875326144,0.027937790843800107,-0.005242084217510207,-0.004904408355278665
JAN MAYEN,189,+70:55:59,-008:40:00,2.199925925925926,1.6152898550724637,1.2957971014492755,1.23989010989011,-0.04818368216399349,-0.030572268526693504,-0.0026764254096023885,0.021604160025511767,-0.002457027461136289,0.025196993208527578,0.03781720778848675,0.0616758535079839
KARASJOK,190,+69:28:00,+025:30:11,2.009222222222224,1.5762318840579705,0.4727173913043501,0.6424908424908424,-0.0017112884023666914,-0.012803141374900264,-0.019991216834621375,0.04309970317277154,0.017153184273261863,-0.05547395899144964,-0.03193516485651527,-0.03382118817432374
KJOEREMSGRENDE,191,+62:06:00,+009:03:00,2.0308633461047236,1.1354940869543482,0.5244849896480321,0.6359603766617952,-0.006422214416866587,-0.00944916093351474,-0.007221467833712939,0.00963654958829636,0.021205223949230634,0.008427468472579979,0.02569972030702444,0.021678269880231887
FAERDER FYR,192,+59:01:36,+010:31:48,1.6066805555555554,1.4151643895341195,0.7253260869565228,0.5027278477094796,0.029519002056819173,-0.045840253791620295,-0.0022839002843168025,0.06690379319708344,0.03457191276158219,-0.043285056340439027,-0.0014092734360219474,0.05221660071111934
OSLO BLINDERN,193,+59:56:34,+010:43:14,1.9289629629629623,1.4495289855072455,0.727789855072464,0.6963736263736253,0.027600330987291984,0.0024697209435893385,0.056402184490210436,0.07484371693092975,0.026073079794175197,-0.028821275283019684,0.01811405883718593,0.023039931117771594
UTSIRA FYR,194,+59:18:28,+004:52:41,1.1453653030115771,0.9674873096446701,0.9036231884057973,0.5008742243189559,-0.011199618669720326,0.014651670628377751,0.03181658691872054,0.02733418110723496,-0.013656509147802377,-0.012557757086614909,0.02975270191155356,-0.016551851627135687
VARDOE,195,+70:22:01,+031:05:04,1.3781851851851847,1.2536594202898548,0.6979347826086961,0.955681601896333,-0.017666076517299418,-0.021970276435990182,0.005964579138244006,0.015253552955256084,0.027794073403009732,-0.013092745697541602,-0.03776495499364566,-0.004647113319393099
NESBYEN-SKOGLUND,196,+60:34:06,+009:07:18,2.8600723102136083,1.664267369218149,0.6839797027908627,0.5791764149828666,0.01848517079004049,0.022572645107052803,0.010220193102781624,0.0027213214017348004,0.03456660964946371,0.01766166088049752,-0.0017215744170388804,0.008967046905730459
GULBENE,198,+57:07:59,+026:43:00,2.2423400421379465,1.8566638391330645,0.9175757094030672,0.6557497710622711,0.019285941069845484,0.01436375806612805,0.026809342220459144,0.009062057934392543,-0.0013910894120456737,-0.005078753889616075,0.006874803031627631,0.04915541979889065
LIEPAJA,199,+56:28:59,+021:01:00,1.8471789595471262,1.7487314880810967,0.991114003161071,0.3145145192971288,0.0171357667829675,0.007923220223151178,0.012034273682734197,0.009013796559474044,0.003650430912603338,0.003766312658080065,0.036881485248625195,0.03564724704356387
LUXEMBOURG AIRPORT,203,+49:37:33,+006:12:12,1.2844074074074072,1.6839130434782623,1.9197463768115934,1.0630036630036628,-0.027221865916067702,-0.005348534828685513,0.057456384290255166,-0.002636267500105706,0.0036180887895945583,-0.01949139738227549,0.011241794910161543,0.006362027170933104
SZCZECIN,208,+53:23:43,+014:37:22,1.5667816091954023,1.6155984507746117,0.9841479260369823,0.5490248831628151,0.011531478354111736,0.05523815971201855,0.03644036156218022,0.035429726442834465,0.02048156441856941,-0.02622499139823245,0.052949643699845395,0.04522649236940416
LISBOA GEOFISICA,214,+38:43:08,-009:08:57,0.4653781950965037,0.8773550724637662,0.7467028985507262,0.3830304274935976,0.016928478430243765,0.06844505778752011,0.024645735668442973,0.01316678278354345,0.09280652651218246,0.06177786859953982,0.05619416489695464,0.03725419539752463
